id,guild_id,type,text,status,submitted_by,reviewed_by,created_at,updated_at
1262,1468287891921961094,truth,what's your favorite scent?,approved,428979505076371466,1333618263187525773,2026-08-14 19:00:08.343774+00,2026-08-14 19:38:51.845+00
1263,1468287891921961094,truth,"What is a talent youve wanted to learn, but haven't gotten around to?",approved,428979505076371466,1333618263187525773,2026-08-14 19:00:44.119566+00,2026-08-14 19:38:54.773+00
1028,1468287891921961094,truth,Would you suck your partners toes if they wanted you to?,approved,1333618263187525773,1333618263187525773,2026-07-02 19:30:56.729804+00,2026-07-02 19:31:06.895+00
1031,1468287891921961094,truth,Did you ever used to practice kissing when you were younger,approved,428979505076371466,1333618263187525773,2026-07-11 03:15:51.036924+00,2026-07-11 13:15:38.959+00
1264,1468287891921961094,truth,Have you ever done something illegal?,pending,428979505076371466,,2026-08-14 21:40:58.816771+00,2026-08-14 21:40:58.816771+00
1260,1468287891921961094,dare,show us your Internet history,approved,428979505076371466,1333618263187525773,2026-08-14 18:57:11.457874+00,2026-08-14 19:38:46.497+00
1261,1468287891921961094,dare,show us your cringiest HS/MS photo,approved,428979505076371466,1333618263187525773,2026-08-14 18:57:43.87072+00,2026-08-14 19:38:47.549+00
1032,1468287891921961094,dare,post a picture of your books / bookshelf,approved,268904058562019330,1333618263187525773,2026-07-12 01:42:27.017045+00,2026-08-14 19:38:40.018+00
1033,1468287891921961094,dare,Share a photo of a picture you have on your wall,approved,268904058562019330,1333618263187525773,2026-07-14 16:36:48.032535+00,2026-08-14 19:38:43.517+00
1029,1468287891921961094,dare,Post your favorite song link,approved,428979505076371466,1333618263187525773,2026-07-11 03:02:08.347189+00,2026-07-11 13:15:31.947+00
1030,1468287891921961094,dare,Show a screenshot of your phone homescreen,approved,268904058562019330,1333618263187525773,2026-07-11 03:02:50.248593+00,2026-07-11 13:15:37.007+00
1265,1468287891921961094,dare,Bark like a dog for 1 minute straight,pending,428979505076371466,,2026-08-14 21:41:29.675318+00,2026-08-14 21:41:29.675318+00
